type,text
ham,what is your account number?
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,Smith waste da.i wanna gayle.
ham,Correct. So how was work today
ham,I have no money 4 steve mate! !
ham,What about this one then.
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
ham,Spoons it is then okay?
ham,Wait.i will come out.. #  min:)
ham,If you don't respond imma assume you're still asleep and imma start calling
ham,You want to go? 
ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,Can i get your opinion on something first?
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Not getting anywhere with this damn job hunting over here!
ham,I am great princess! What are you thinking about me? :)
ham,Yay! You better not have told that to 5 other girls either.
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
spam,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
ham,What he said is not the matter. My mind saying some other matter is there.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,& I promise I'll bring back ur smile.:-)"
ham,"There'll be a minor shindig at my place later tonight, you interested?"
ham,Lol well don't do it without me. We could have a big sale together.
ham,Anything...
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,i felt so...not any conveying reason.. Ese he... What about me?
ham,Yeah do! Don€˜t stand to close tho- you€˜ll catch something!
spam,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
ham,Moji i love you more than words. Have a rich day
ham,Doing my masters. When will you buy a bb cos i have for sale and how's bf
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,"It€˜s reassuring, in this crazy world."
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,Hasn't that been the pattern recently crap weekends?
ham,"Jay wants to work out first, how's 4 sound?"
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
ham,Cold. Dont be sad dear
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
ham,Where you. What happen
ham,Is avatar supposed to have subtoitles
ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
ham,"Sorry, I'll call later"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
ham,Hey r u still online? I've finished the formatting...
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
ham,"Uh, heads up we don't have THAT much left"
ham,Yes:)here tv is always available in work place..
ham,Have you finished work yet? :)
ham,HAPPY NEW YEAR MY NO.1 MAN
ham,"Sorry, I'll call later"
ham,Feel like trying kadeem again? :V
spam,As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,No pic. Please re-send.
ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
ham,Do you want bold 2 or bb torch
ham,Designation is software developer and may be she get chennai:)
ham,I am late. I will be there at
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 
ham,on hen night. Going with a swing
ham,Ugh I'm resubbing to eve
ham,Feb  #  is I LOVE U day. Send dis to all ur VALUED FRNDS evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr
ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
ham,Fine. Do you remember me.
ham,K..k..i'm also fine:)when will you complete the course?
spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890£1.50 per msg
ham,Dear good morning now only i am up
ham,What time you coming down later? 
ham,Lara said she can loan me  # .
ham,R u comin back for dinner?
ham,I absolutely LOVE South Park! I only recently started watching the office.
ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
ham,K I'll be sure to get up before noon and see what's what
ham,K k :-):-) then watch some films.
ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
ham,I'm in a movie... Collect car oredi...
ham,K..k..i'm also fine:)when will you complete the course?
ham,(You didn't hear it from me)
ham,"Same here, but I consider walls and bunkers and important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,26th OF JULY
ham,All e best 4 ur driving tmr :-)
ham,Are you free now?can i call now?
ham,"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"
ham,Who's there say hi to our drugdealer
ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham,Why i come in between you people
ham,Ranjith cal drpd Deeraj and deepak 5min hold
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,ok....take care.umma to you too...
ham,Have a good evening! Ttyl
ham,"Uncle G, just checking up on you. Do have a rewarding month"
ham,MAYBE IF YOU WOKE UP BEFORE 3 THIS WOULDN'T BE A PROBLEM.
ham,Pls help me tell Ashley that i cant find her number oh
ham,We're done...
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= #  9+2+4= #  8+6+3= #  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
ham,Yo dude guess who just got arrested the other day
ham,R u going 4 today's meeting?
ham,I went to project centre
ham,Why did I wake up on my own :(
ham,Rats. Hey did u ever vote for the next themes?
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
ham,Jason says it's cool if we pick some up from his place in like an hour
spam,Did you hear about the new Divorce Barbie? It comes with all of Ken's stuff!
ham,"Nah can't help you there, I've never had an iphone"
ham,You've always been the brainy one.
ham,Got meh... When?
spam,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
ham,I need you to be in my strong arms...
ham,Can u send me a copy of da report?
ham,Oh ho. Is this the first time u use these type of words
ham,"It€˜s £6 to get in, is that ok?"
ham,Ok i also wan 2 watch e 9 pm show...
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
ham,"Say this slowly.? GOD,I LOVE YOU & I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people & u c miracle tomorrow, do it,pls,pls do it..."
ham,"Just wondering, the others just took off"
ham,I was gonna ask you lol but i think its at 7
ham,S...i will take mokka players only:)
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,Thanx 4 sending me home...
ham,I'm always looking for an excuse to be in the city.
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
ham,At WHAT TIME should i come tomorrow
ham,I'm at work. Please call
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
ham,Just sleeping..and surfing
ham,Oh all have to come ah?
ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
ham,"Yes..but they said its IT.,"
ham,Dear reached railway. What happen to you
ham,Arun can u transfr me d amt
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,I asked sen to come chennai and search for job.
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,Can u get pic msgs to your phone?
ham,u ready then call me...
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,"Come round, it's . "
ham,"Wat time liao, where still got."
ham,Hey! There's veggie pizza... :/
ham,Okie...
ham,Lol they were mad at first but then they woke up and gave in.
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! 
ham,Superb Thought- Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.:-)
ham,Howz that persons story
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
ham,Me fine..absolutly fine
ham,I fetch yun or u fetch?
ham,Hey i've booked the pilates and yoga lesson already... Haha
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed & Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,"Total disappointment, when I texted you was the craziest stuff got :("
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  #  ) select any number i will tell ur face astrology.... am waiting. quick reply...
ham,Lol boo I was hoping for a laugh
ham,I will come to ur home now
ham,"Sorry, I'll call later"
ham,Where u been hiding stranger?
ham,I'm fine. Hope you are good. Do take care.
ham,"Sure, whenever you show up"
ham,Anytime lor...
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
ham,YO YO YO BYATCH WHASSUP?
ham,K I'll call you when I'm close
ham,"Thank you. And by the way, I just lost."
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
ham,Lmao. Take a pic and send it to me.
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&
ham,Ok
ham,Long time. You remember me today.
ham,7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear
ham,Tiwary to rcb.battle between bang and kochi.
ham,I'm in class. Did you get my text.
ham,"I call you later, don't have network. If urgnt, sms me."
spam,Urgent Please call 09066612661 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ €œ
ham,do u think that any girl will propose u today by seing ur bloody face
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,"Are you sure you don't mean get here, we made you hold all the weed"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
ham,I don't run away frm u... I walk slowly & it kills me that u don't care enough to stop me...
ham,Get down in gandhipuram and walk to cross cut road. Right side # street road and turn at first right.
ham,7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st Ur Lovely Friendship... good morning dear
ham,Hey gals...U all wanna meet 4 dinner at nÃ¬te? 
ham,I did. One slice and one breadstick. Lol
ham,Orh i tot u say she now still dun believe.
ham,Also you and your family for going to rhode island or wherever and leaving me all alone the week I have a new bong :(
ham,I forgot 2 ask u all smth.. There's a card on da present lei... How? u all want 2 write smth or sign on it?
ham,I dun believe u. I thk u told him.
ham,"That's the trouble with classes that go well - you're due a dodgey one ... Expecting mine tomo! See you for recovery, same time, same place "
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
ham,Oh just getting even with u.... u?
ham,"There're some people by mu, I'm at the table by lambda"
ham,In fact when do you leave? I think addie goes back to school tues or wed
ham,How are you. Just checking up on you
ham,"K give me a sec, breaking a  #  at cstore"
ham,"We are at grandmas. Oh dear, u still ill? I felt terrible this morning but i think i am just hungover! Another night then. We leave on sat."
ham,"As in missionary hook up, doggy hook up, standing...|"
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,K.k:)when are you going?
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
ham,Nope. Meanwhile she talk say make i greet you.
ham,Oh my God. I'm almost home
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
ham,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,"Cool, what time you think you can get here?"
ham,Where wuld I be without my baby? The thought alone mite break me and I don’t wanna go crazy but everyboy needs his lady xxxxxxxx
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Ok
ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  # k. Pls holla back
ham,You unbelievable faglord
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
ham,No de.am seeing in online shop so that i asked.
ham,Well you told others you'd marry them...
ham,how tall are you princess?
ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
ham,"I can't, I don't have her number!"
ham,Senthil group company Apnt 5pm.
ham,"Haha I heard that, text me when you're around"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
ham,"Yes, princess. Toledo."
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes & fills those gaps by holding your hand with LOVE..!"
ham,We are both fine. Thanks
spam,85233 FREE>Ringtone!Reply REAL
ham,So do you have samus shoulders yet
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,How come guoyang go n tell her? Then u told her?
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,Just wait till end of march when el nino gets himself. Oh.
ham,I'm really sorry I lit your hair on fire
ham,"Ya tel, wats ur problem.."
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a storm is attributed to me always coming over and making everyone smoke
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,Not yet chikku..wat abt u?
spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Oh god. I'm gonna Google nearby cliffs now.
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,Ok
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
ham,On the way to office da..
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Sure! I am driving but will reach my destination soon.
ham,Carlos'll be here in a minute if you still need to buy
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
ham,Ok. C u then.
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?"
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
ham,Going for dinner.msg you after.
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
ham,My sister got placed in birla soft da:-)
ham,Lol for real. She told my dad I have cancer
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor..."
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
ham,May i call You later Pls
ham,"Get the door, I'm here"
ham,Oh k k:)but he is not a big hitter.anyway good
ham,Hows that watch resizing
ham,"Haha yeah, 2 oz is kind of a lot"
ham,K..k:)how about your training process?
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,Was playng 9 doors game and gt racing on phone lol
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring stuff out before the last second"
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Am okay. Will soon be over. All the best
ham,Alright i have a new goal now
ham,I will see in half an hour
ham,"Sorry, I'll call later"
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,Jus finish watching tv... U?
ham,I donno its in your genes or something
ham,Today am going to college so am not able to atten the class.
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,I keep ten rs in my shelf:) buy two egg.
ham,"Yun ah.the ubi one say if u wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ã¨n"
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham,Change windows logoff sound..
ham,No one interested. May be some business plan.
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,Sac will score big hundred.he is set batsman:-)
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,No need to ke qi... u too bored izzit y suddenly thk of this...
ham,No objection. My bf not coming.
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,I dont know why she.s not getting your messages
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,Ok. I asked for money how far
ham,It should take about  #  min
ham,Give one miss from that number please
ham,"K, can I pick up another 8th when you're done?"
ham,"Aight, call me once you're close"
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,:( but your not here....
ham,Yes baby! We can study all the positions of the kama sutra ;)
ham,"Velly good, yes please!"
ham,K tell me anything about you.
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,Yes. Please leave at  # . So that at  #  we can leave
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,"Probably gonna be here for a while, see you later tonight )"
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
ham,Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: GOODMORNING & HAVE A NICE DAY :)
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,Where do you need to go to get it?
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,Yup. Thk of u oso boring wat.
ham,I gotta collect da car at 6 lei.
ham,Might ax well im there.
ham,u no home work to do meh... 
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,Ok.ok ok..then..whats ur todays plan
ham,Hey tmr meet at bugis 930 ?
ham,My friends use to call the same.
spam,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
ham,I've reached home finally...
ham,All will come alive.better correct any good looking figure there itself..
ham,"I guess you could be as good an excuse as any, lol."
spam,"SMS. ac sun0819 posts HELLO:You seem cool, wanted to say hi. HI!!! Stop? Send STOP to 62468"
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,Shall i get my pouch?
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,"Sorry, I'll call later in meeting"
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,# ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
ham,"Aight, lemme know what's up"
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already ...
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,Oh ok wait 4 me there... My lect havent finish
ham,I'm home.
ham,Howz that persons story
ham,May b approve panalam...but it should have more posts..
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy babe. How about we go slo n hard! Txt XXX SLO(4msgs)
ham,Prepare to be pounded every night...
